Fechas,Variable,Tipo_Valores,Valores,Periodicidad,Sector
2002-01-01,       Explotación de Minas y Canteras,Corrientes,717.4,Anual,Real
2002-01-01,       Industria Manufacturera,Corrientes,25694.1,Anual,Real
2002-01-01,       Construcción,Corrientes,6431.9,Anual,Real
2002-01-01,"       Comercio, Hoteles y Restaurantes",Corrientes,20455.3,Anual,Real
2002-01-01,       Otros Servicios,Corrientes,52750.8,Anual,Real
2002-01-01,  Menos: Servicios de Intermediación Financiera Medidos Indirectamente,Corrientes,4801.1,Anual,Real
2002-01-01, Impuestos  netos de subvenciones sobre la producción y las importaciones,Corrientes,12181.2,Anual,Real
2002-01-01,Producto Interno Bruto a precios de mercado,Corrientes,129166.6,Anual,Real
2002-01-01,       Importaciones de Bienes y Servicios C.I.F.,Corrientes,84303.0,Anual,Real
2002-01-01,DEMANDA GLOBAL ,Corrientes,213469.59999999998,Anual,Real
2002-01-01,Demanda Interna,Corrientes,145359.3,Anual,Real
2002-01-01,    Gastos de Consumo Final,Corrientes,114025.5,Anual,Real
2002-01-01,       Sector Privado,Corrientes,94682.1,Anual,Real
2002-01-01,       Sector Público,Corrientes,19343.4,Anual,Real
2002-01-01,    Inversión Interna Bruta,Corrientes,31333.8,Anual,Real
2002-01-01,      Formación Bruta de Capital Fijo,Corrientes,27793.6,Anual,Real
2002-01-01,       Sector Privado,Corrientes,23425.3,Anual,Real
2002-01-01,       Sector Público,Corrientes,4368.2,Anual,Real
2002-01-01,     Variación de Existencias,Corrientes,3540.2,Anual,Real
2002-01-01,Demanda  Externa,Corrientes,68110.3,Anual,Real
2002-01-01, Exportación de Bienes y Servicios F.O.B.,Corrientes,68110.3,Anual,Real
2002-01-01,OFERTA GLOBAL,Corrientes,191382.0,Anual,Real
2002-01-01,Valor Agregado Bruto,Corrientes,102950.5,Anual,Real
2002-01-01,"       Agricultura, Ganadería, Caza, Silvicultura y Pesca ",Corrientes,16358.9,Anual,Real
2002-01-01,       Explotación de Minas y Canteras,Corrientes,619.0,Anual,Real
2002-01-01,       Industria Manufacturera,Corrientes,24510.8,Anual,Real
2002-01-01,       Construcción,Corrientes,5098.0,Anual,Real
2002-01-01,"       Comercio, Hoteles y Restaurantes",Corrientes,16417.8,Anual,Real
2002-01-01,       Otros Servicios,Corrientes,45558.5,Anual,Real
2002-01-01,  Menos: Servicios de Intermediación Financiera Medidos Indirectamente,Corrientes,5612.5,Anual,Real
2002-01-01, Impuestos  netos de subvenciones sobre la producción y las importaciones,Corrientes,10721.5,Anual,Real
2002-01-01,Producto Interno Bruto a precios de mercado,Corrientes,113671.8,Anual,Real
2002-01-01,       Importaciones de Bienes y Servicios C.I.F.,Corrientes,77710.0,Anual,Real
2002-01-01,DEMANDA GLOBAL ,Corrientes,191382.0,Anual,Real
2002-01-01,Demanda Interna,Corrientes,125547.8,Anual,Real
2002-01-01,    Gastos de Consumo Final,Corrientes,97877.0,Anual,Real
2002-01-01,       Sector Privado,Corrientes,82184.8,Anual,Real
2002-01-01,       Sector Público,Corrientes,15692.2,Anual,Real
2002-01-01,    Inversión Interna Bruta,Corrientes,27670.8,Anual,Real
2002-01-01,      Formación Bruta de Capital Fijo,Corrientes,24718.3,Anual,Real
2002-01-01,       Sector Privado,Corrientes,20956.2,Anual,Real
2002-01-01,       Sector Público,Corrientes,3762.1,Anual,Real
2002-01-01,     Variación de Existencias,Corrientes,2952.5,Anual,Real
2002-01-01,Demanda  Externa,Corrientes,65834.2,Anual,Real
2002-01-01, Exportación de Bienes y Servicios F.O.B.,Corrientes,65834.2,Anual,Real
2003-01-01,OFERTA GLOBAL,Corrientes,240154.19999999998,Anual,Real
2003-01-01,Valor Agregado Bruto a precios básicos,Corrientes,129999.9,Anual,Real
2003-01-01,"       Agricultura, Ganadería, Caza, Silvicultura y Pesca ",Corrientes,16587.0,Anual,Real
2003-01-01,       Explotación de Minas y Canteras,Corrientes,900.4,Anual,Real
2003-01-01,       Industria Manufacturera,Corrientes,28240.8,Anual,Real
2003-01-01,       Construcción,Corrientes,7852.7,Anual,Real
2003-01-01,"       Comercio, Hoteles y Restaurantes",Corrientes,22530.8,Anual,Real
2003-01-01,       Otros Servicios,Corrientes,59064.1,Anual,Real
2003-01-01,  Menos: Servicios de Intermediación Financiera Medidos Indirectamente,Corrientes,5175.8,Anual,Real
2003-01-01, Impuestos  netos de subvenciones sobre la producción y las importaciones,Corrientes,12817.9,Anual,Real
2003-01-01,Producto Interno Bruto a precios de mercado,Corrientes,142817.8,Anual,Real
2003-01-01,       Importaciones de Bienes y Servicios C.I.F.,Corrientes,97336.4,Anual,Real
2003-01-01,DEMANDA GLOBAL ,Corrientes,240154.2,Anual,Real
2003-01-01,Demanda Interna,Corrientes,162898.30000000002,Anual,Real
2003-01-01,    Gastos de Consumo Final,Corrientes,126792.70000000001,Anual,Real
2003-01-01,       Sector Privado,Corrientes,105483.1,Anual,Real
2003-01-01,       Sector Público,Corrientes,21309.6,Anual,Real
2003-01-01,    Inversión Interna Bruta,Corrientes,36105.6,Anual,Real
2003-01-01,      Formación Bruta de Capital Fijo,Corrientes,32742.8,Anual,Real
2003-01-01,       Sector Privado,Corrientes,25758.4,Anual,Real
2003-01-01,       Sector Público,Corrientes,6984.4,Anual,Real
2003-01-01,     Variación de Existencias,Corrientes,3362.8,Anual,Real
2003-01-01,Demanda  Externa,Corrientes,77255.9,Anual,Real
2003-01-01, Exportación de Bienes y Servicios F.O.B.,Corrientes,77255.9,Anual,Real
2003-01-01,OFERTA GLOBAL,Corrientes,202678.7,Anual,Real
2003-01-01,Valor Agregado Bruto,Corrientes,107522.2,Anual,Real
2003-01-01,"       Agricultura, Ganadería, Caza, Silvicultura y Pesca ",Corrientes,16743.2,Anual,Real
2003-01-01,       Explotación de Minas y Canteras,Corrientes,671.6,Anual,Real
2003-01-01,       Industria Manufacturera,Corrientes,26082.3,Anual,Real
2003-01-01,       Construcción,Corrientes,5289.6,Anual,Real
2003-01-01,"       Comercio, Hoteles y Restaurantes",Corrientes,16761.4,Anual,Real
2003-01-01,       Otros Servicios,Corrientes,48331.3,Anual,Real
2003-01-01,  Menos: Servicios de Intermediación Financiera Medidos Indirectamente,Corrientes,6357.2,Anual,Real
2003-01-01, Impuestos  netos de subvenciones sobre la producción y las importaciones,Corrientes,11318.4,Anual,Real
2003-01-01,Producto Interno Bruto a precios de mercado,Corrientes,118840.5,Anual,Real
2003-01-01,       Importaciones de Bienes y Servicios C.I.F.,Corrientes,83838.0,Anual,Real
2003-01-01,DEMANDA GLOBAL ,Corrientes,202678.7,Anual,Real
2003-01-01,Demanda Interna,Corrientes,131098.5,Anual,Real
2003-01-01,    Gastos de Consumo Final,Corrientes,102081.1,Anual,Real
2003-01-01,       Sector Privado,Corrientes,85803.0,Anual,Real
2003-01-01,       Sector Público,Corrientes,16278.1,Anual,Real
2003-01-01,    Inversión Interna Bruta,Corrientes,29017.399999999998,Anual,Real
2003-01-01,      Formación Bruta de Capital Fijo,Corrientes,26247.8,Anual,Real
2003-01-01,       Sector Privado,Corrientes,21113.9,Anual,Real
