Fechas,TCN
2011-01-01,19.027161904761904
2011-02-01,19.02732
2011-03-01,19.027286956521742
2011-04-01,19.0272625
2011-05-01,19.027272727272727
2011-06-01,19.02731363636364
2011-07-01,18.999857142857145
2011-08-01,18.976995652173912
2011-09-01,19.057809523809524
2011-10-01,19.125638888888886
2011-11-01,19.11524090909091
2011-12-01,19.143457142857145
2012-01-01,19.21427142857143
2012-02-01,19.296152380952382
2012-03-01,19.37444545454545
2012-04-01,19.43998421052632
2012-05-01,19.513613636363637
2012-06-01,19.59254761904762
2012-07-01,19.67198636363636
2012-08-01,19.755047826086958
2012-09-01,19.834789307399603
2012-10-01,19.908726086956527
