Fechas,Variable,Tipo_Valores,Valores,Periodicidad,Sector
2005-01-01,"Fabricación de Sustancias y Productos Químicos, Derivados del Petróleo, Productos de Caucho y Plástico",Corrientes,1470.1,Anual,Real
2005-01-01,Fabricación de Productos de Vidrio y Otros Minerales no Metálicos ,Corrientes,1719.9,Anual,Real
2005-01-01,Industrias Metálicas Básicas ,Corrientes,775.2,Anual,Real
2005-01-01,"Fabricación de Productos Metálicos, Maquinaria y Equipo",Corrientes,2705.3,Anual,Real
2005-01-01,Muebles2/,Corrientes,770.6,Anual,Real
2005-01-01,Otras Industrias Manufactureras,Corrientes,227.4,Anual,Real
2006-01-01,PRECIOS CORRIENTES,Corrientes,39133.1,Anual,Real
2006-01-01,"Productos Alimenticios, Bebidas y Tabaco",Corrientes,14379.199999999999,Anual,Real
2006-01-01,"Producción, Procesamiento y Conservación de Carne y Pescado",Corrientes,2624.4,Anual,Real
2006-01-01,Elaboración de Productos de Molineria y Alimentos Preparados para Animales,Corrientes,1023.8,Anual,Real
2006-01-01,Elaboración de otros Productos Alimenticios,Corrientes,6860.3,Anual,Real
2006-01-01,Elaboración de Bebidas,Corrientes,3046.4,Anual,Real
2006-01-01,Elaboración de Productos de Tabaco,Corrientes,824.3,Anual,Real
2006-01-01,"Fabricación de Productos Textiles, Cuero y Calzado",Corrientes,13389,Anual,Real
2006-01-01,Producción de Madera y Fabricación de Productos de Madera,Corrientes,885.5,Anual,Real
2006-01-01,"Fabricación de Papel y Productos de Papel, Actividades de Edición e Impresión",Corrientes,1039.7,Anual,Real
2006-01-01,"Fabricación de Sustancias y Productos Químicos, Derivados del Petróleo, Productos de Caucho y Plástico",Corrientes,1659.8,Anual,Real
2006-01-01,Fabricación de Productos de Vidrio y Otros Minerales no Metálicos ,Corrientes,1957.9,Anual,Real
2006-01-01,Industrias Metálicas Básicas ,Corrientes,1174.7,Anual,Real
2006-01-01,"Fabricación de Productos Metálicos, Maquinaria y Equipo",Corrientes,3605.6,Anual,Real
2006-01-01,Muebles2/,Corrientes,783.2,Anual,Real
2006-01-01,Otras Industrias Manufactureras,Corrientes,258.5,Anual,Real
2007-01-01,PRECIOS CORRIENTES,Corrientes,41928.7,Anual,Real
2007-01-01,"Productos Alimenticios, Bebidas y Tabaco",Corrientes,15793.699999999999,Anual,Real
2007-01-01,"Producción, Procesamiento y Conservación de Carne y Pescado",Corrientes,2502,Anual,Real
2007-01-01,Elaboración de Productos de Molineria y Alimentos Preparados para Animales,Corrientes,963.6,Anual,Real
2007-01-01,Elaboración de otros Productos Alimenticios,Corrientes,7506.3,Anual,Real
2007-01-01,Elaboración de Bebidas,Corrientes,4025.9,Anual,Real
2007-01-01,Elaboración de Productos de Tabaco,Corrientes,795.9,Anual,Real
2007-01-01,"Fabricación de Productos Textiles, Cuero y Calzado",Corrientes,14102.2,Anual,Real
2007-01-01,Producción de Madera y Fabricación de Productos de Madera,Corrientes,904.1,Anual,Real
2007-01-01,"Fabricación de Papel y Productos de Papel, Actividades de Edición e Impresión",Corrientes,1311.7,Anual,Real
2007-01-01,"Fabricación de Sustancias y Productos Químicos, Derivados del Petróleo, Productos de Caucho y Plástico",Corrientes,1740.2,Anual,Real
2007-01-01,Fabricación de Productos de Vidrio y Otros Minerales no Metálicos ,Corrientes,2126.4,Anual,Real
2007-01-01,Industrias Metálicas Básicas ,Corrientes,963.7,Anual,Real
2007-01-01,"Fabricación de Productos Metálicos, Maquinaria y Equipo",Corrientes,3922.4,Anual,Real
2007-01-01,Muebles2/,Corrientes,759.7,Anual,Real
2007-01-01,Otras Industrias Manufactureras,Corrientes,304.6,Anual,Real
2008-01-01,PRECIOS CORRIENTES,Corrientes,46723.9,Anual,Real
2008-01-01,"Productos Alimenticios, Bebidas y Tabaco",Corrientes,18952,Anual,Real
2008-01-01,"Producción, Procesamiento y Conservación de Carne y Pescado",Corrientes,2914.7,Anual,Real
