Concepto,Fechas,Monto
          Inversión Directa,2000-07-01,2059.4
          Inversión de Cartera,2000-07-01,0.0
     PRÉSTAMOS,2000-07-01,36008.7
           Público,2000-07-01,26663.2
           Privado,2000-07-01,7705.2
           Bancario,2000-07-01,1640.3
    OTRAS ENTRADAS DE CAPITAL,2000-07-01,15758.3
    INVERSIÓN BONOS CADD,2000-07-01,0.0
    TOTAL INGRESOS,2000-07-01,207638.19999999998
1. BIENES,2000-08-01,85260.1
    EXPORTACIONES DE MERCANCÍAS,2000-08-01,29819.5
      ANTICIPOS POR EXPORTACIONES,2000-08-01,17288.1
      PROCESAMIENTO Y MAQUILADO,2000-08-01,38152.5
2. SERVICIOS,2000-08-01,50154.1
     TRANSPORTE,2000-08-01,278.9
     SEGUROS (PRIMAS E INDEMNIZACIONES),2000-08-01,7.8
     GASTOS DE VIAJERO,2000-08-01,13189.0
     SERVICIOS DEL GOBIERNO,2000-08-01,11907.7
     OTROS SERVICIOS,2000-08-01,24770.7
          FINANCIEROS,2000-08-01,0.0
          EMPRESARIALES Y PROFESIONALES,2000-08-01,0.0
          OTROS,2000-08-01,24770.7
3. RENTA DE LA INVERSIÓN,2000-08-01,7759.4
4. TRANSFERENCIAS,2000-08-01,34364.7
     REMESAS FAMILIARES,2000-08-01,32350.8
     OTRAS,2000-08-01,2013.9
5. MOVIMIENTOS DE CAPITAL,2000-08-01,61290.0
     INVERSIÓN EXTRANJERA,2000-08-01,11893.7
          Inversión Directa,2000-08-01,11874.4
          Inversión de Cartera,2000-08-01,19.3
     PRÉSTAMOS,2000-08-01,28243.2
           Público,2000-08-01,16801.3
           Privado,2000-08-01,8711.4
           Bancario,2000-08-01,2730.5
    OTRAS ENTRADAS DE CAPITAL,2000-08-01,21153.1
    INVERSIÓN BONOS CADD,2000-08-01,0.0
    TOTAL INGRESOS,2000-08-01,238828.3
1. BIENES,2000-09-01,81432.2
    EXPORTACIONES DE MERCANCÍAS,2000-09-01,23442.1
      ANTICIPOS POR EXPORTACIONES,2000-09-01,21526.0
      PROCESAMIENTO Y MAQUILADO,2000-09-01,36464.1
2. SERVICIOS,2000-09-01,46311.3
     TRANSPORTE,2000-09-01,406.2
     SEGUROS (PRIMAS E INDEMNIZACIONES),2000-09-01,303.3
     GASTOS DE VIAJERO,2000-09-01,11400.7
     SERVICIOS DEL GOBIERNO,2000-09-01,10519.0
     OTROS SERVICIOS,2000-09-01,23682.1
          FINANCIEROS,2000-09-01,0.0
          EMPRESARIALES Y PROFESIONALES,2000-09-01,0.0
          OTROS,2000-09-01,23682.1
3. RENTA DE LA INVERSIÓN,2000-09-01,7532.7
4. TRANSFERENCIAS,2000-09-01,33050.3
     REMESAS FAMILIARES,2000-09-01,30846.0
     OTRAS,2000-09-01,2204.3
5. MOVIMIENTOS DE CAPITAL,2000-09-01,27743.2
     INVERSIÓN EXTRANJERA,2000-09-01,999.0
          Inversión Directa,2000-09-01,999.0
          Inversión de Cartera,2000-09-01,0.0
     PRÉSTAMOS,2000-09-01,10744.6
           Público,2000-09-01,3553.9
           Privado,2000-09-01,6934.9
           Bancario,2000-09-01,255.8
    OTRAS ENTRADAS DE CAPITAL,2000-09-01,15999.6
    INVERSIÓN BONOS CADD,2000-09-01,0.0
    TOTAL INGRESOS,2000-09-01,196069.7
1. BIENES,2000-10-01,72470.7
    EXPORTACIONES DE MERCANCÍAS,2000-10-01,18436.2
      ANTICIPOS POR EXPORTACIONES,2000-10-01,20477.4
      PROCESAMIENTO Y MAQUILADO,2000-10-01,33557.1
2. SERVICIOS,2000-10-01,45951.7
     TRANSPORTE,2000-10-01,400.6
     SEGUROS (PRIMAS E INDEMNIZACIONES),2000-10-01,2202.0
     GASTOS DE VIAJERO,2000-10-01,11423.8
     SERVICIOS DEL GOBIERNO,2000-10-01,7257.2
     OTROS SERVICIOS,2000-10-01,24668.1
          FINANCIEROS,2000-10-01,0.0
          EMPRESARIALES Y PROFESIONALES,2000-10-01,0.0
          OTROS,2000-10-01,24668.1
3. RENTA DE LA INVERSIÓN,2000-10-01,7864.2
4. TRANSFERENCIAS,2000-10-01,36093.2
     REMESAS FAMILIARES,2000-10-01,32242.2
     OTRAS,2000-10-01,3851.0
5. MOVIMIENTOS DE CAPITAL,2000-10-01,46933.6
     INVERSIÓN EXTRANJERA,2000-10-01,0.0
          Inversión Directa,2000-10-01,0.0
          Inversión de Cartera,2000-10-01,0.0
     PRÉSTAMOS,2000-10-01,28084.0
           Público,2000-10-01,19032.5
           Privado,2000-10-01,5967.3
           Bancario,2000-10-01,3084.2
    OTRAS ENTRADAS DE CAPITAL,2000-10-01,18849.6
    INVERSIÓN BONOS CADD,2000-10-01,0.0
    TOTAL INGRESOS,2000-10-01,209313.4
1. BIENES,2000-11-01,76312.0
    EXPORTACIONES DE MERCANCÍAS,2000-11-01,19743.8
      ANTICIPOS POR EXPORTACIONES,2000-11-01,17599.2
      PROCESAMIENTO Y MAQUILADO,2000-11-01,38969.0
2. SERVICIOS,2000-11-01,53215.1
     TRANSPORTE,2000-11-01,486.1
     SEGUROS (PRIMAS E INDEMNIZACIONES),2000-11-01,2292.4
     GASTOS DE VIAJERO,2000-11-01,11063.9
     SERVICIOS DEL GOBIERNO,2000-11-01,13652.2
     OTROS SERVICIOS,2000-11-01,25720.5
          FINANCIEROS,2000-11-01,0.0
          EMPRESARIALES Y PROFESIONALES,2000-11-01,0.0
          OTROS,2000-11-01,25720.5
3. RENTA DE LA INVERSIÓN,2000-11-01,7693.7
4. TRANSFERENCIAS,2000-11-01,37005.9
     REMESAS FAMILIARES,2000-11-01,32249.6
     OTRAS,2000-11-01,4756.3
5. MOVIMIENTOS DE CAPITAL,2000-11-01,32024.8
     INVERSIÓN EXTRANJERA,2000-11-01,2.1
          Inversión Directa,2000-11-01,2.1
          Inversión de Cartera,2000-11-01,0.0
     PRÉSTAMOS,2000-11-01,20298.5
           Público,2000-11-01,5825.2
           Privado,2000-11-01,10629.7
           Bancario,2000-11-01,3843.6
    OTRAS ENTRADAS DE CAPITAL,2000-11-01,11724.2
    INVERSIÓN BONOS CADD,2000-11-01,0.0
    TOTAL INGRESOS,2000-11-01,206251.5
1. BIENES,2000-12-01,101078.0
    EXPORTACIONES DE MERCANCÍAS,2000-12-01,23528.4
      ANTICIPOS POR EXPORTACIONES,2000-12-01,24452.7
      PROCESAMIENTO Y MAQUILADO,2000-12-01,53096.9
2. SERVICIOS,2000-12-01,58784.8
     TRANSPORTE,2000-12-01,512.1
     SEGUROS (PRIMAS E INDEMNIZACIONES),2000-12-01,2918.5
     GASTOS DE VIAJERO,2000-12-01,11492.0
     SERVICIOS DEL GOBIERNO,2000-12-01,14801.0
     OTROS SERVICIOS,2000-12-01,29061.2
          FINANCIEROS,2000-12-01,0.0
          EMPRESARIALES Y PROFESIONALES,2000-12-01,0.0
          OTROS,2000-12-01,29061.2
3. RENTA DE LA INVERSIÓN,2000-12-01,6881.8
4. TRANSFERENCIAS,2000-12-01,46080.9
     REMESAS FAMILIARES,2000-12-01,36636.4
     OTRAS,2000-12-01,9444.5
5. MOVIMIENTOS DE CAPITAL,2000-12-01,78518.7
     INVERSIÓN EXTRANJERA,2000-12-01,1500.0
          Inversión Directa,2000-12-01,1500.0
          Inversión de Cartera,2000-12-01,0.0
     PRÉSTAMOS,2000-12-01,54039.1
           Público,2000-12-01,29877.3
           Privado,2000-12-01,19980.6
           Bancario,2000-12-01,4181.2
    OTRAS ENTRADAS DE CAPITAL,2000-12-01,22979.6
    INVERSIÓN BONOS CADD,2000-12-01,0.0
    TOTAL INGRESOS,2000-12-01,291344.19999999995
